City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Haines Junction,CA,62.55,overcast clouds,60.7522,-137.5108,Parkside Inn
363,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
364,Kaabong,UG,61.11,overcast clouds,3.4836,34.1492,Rock Motel Ltd
366,Mitsamiouli,KM,76.1,light rain,-11.3847,43.2844,Foyer ADM
368,Savelugu,GH,75.76,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
369,Axim,GH,74.61,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
370,Troitsko-Pechorsk,RU,52.56,overcast clouds,62.7084,56.1964,Pechora Gostinitsa
371,Sioux Lookout,CA,70.18,smoke,50.1001,-91.917,Knobby's Fly-In Camps
373,Antofagasta,CL,56.48,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
374,Cookeville,US,77.85,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
377,Oussouye,SN,75.88,overcast clouds,12.485,-16.5469,Auberge du Routard
378,Asau,RO,64.76,clear sky,46.4333,26.4,Casa Mika Ciobanus
380,Kondinskoye,RU,54.0,scattered clouds,59.6481,67.41,Gostinitsa
381,Benguela,AO,68.68,clear sky,-12.5763,13.4055,Hotel Praia Morena
384,Shahr-E Babak,IR,74.35,clear sky,30.1165,55.1186,Duna Ecolodge
385,Formosa,AR,71.58,overcast clouds,-26.1775,-58.1781,Hotel Portal del Sol
386,Yarim,YE,57.29,overcast clouds,14.298,44.3779,وليد المسوري ابو اسد
389,Bathsheba,BB,77.61,light rain,13.2167,-59.5167,Atlantis Hotel
392,Cuamba,MZ,54.16,few clouds,-14.8031,36.5372,Hotel Vision
393,Jaragua,BR,66.42,clear sky,-15.7569,-49.3344,Danbury Hotel
397,Minsk,BY,55.15,few clouds,53.9,27.5667,Minsk Hotel
398,Woodward,US,79.83,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
399,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
400,Plettenberg Bay,ZA,61.23,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
402,Mahon,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
403,Ulaanbaatar,MN,66.33,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
404,Durban,ZA,53.02,clear sky,-29.8579,31.0292,Hilton Durban
405,Perth,AU,65.66,few clouds,-31.9333,115.8333,Beatty Lodge
410,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
413,Andenes,NO,52.47,mist,69.3143,16.1194,Hotell Marena
414,Powell River,CA,79.92,scattered clouds,49.8496,-124.5361,Rodmay Hotel
416,Faya,SA,64.51,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
