City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
91,Caorle,IT,45.5966,12.8758,74.59,86,100,9.53,2021-07-26 02:23:22,overcast clouds
92,Vestmannaeyjar,IS,63.4427,-20.2734,50.67,78,100,17.34,2021-07-26 02:23:22,overcast clouds
93,Rio Grande,BR,-32.035,-52.0986,62.49,81,9,7.45,2021-07-26 02:18:34,clear sky
94,Humaita,BR,-7.5061,-63.0208,77.36,49,9,1.36,2021-07-26 02:23:23,clear sky
95,Teya,RU,60.3778,92.6267,79.72,45,57,6.91,2021-07-26 02:23:23,broken clouds
96,Dikson,RU,73.5069,80.5464,44.71,72,37,7.67,2021-07-26 02:23:23,scattered clouds
97,Qaanaaq,GL,77.484,-69.3632,38.91,69,100,1.36,2021-07-26 02:23:24,overcast clouds
98,Avarua,CK,-21.2078,-159.775,77.05,83,75,10.36,2021-07-26 02:19:24,broken clouds
99,Batagay,RU,67.6333,134.6333,69.33,45,85,2.55,2021-07-26 02:23:24,overcast clouds
100,Ribeira Grande,PT,38.5167,-28.7,70.23,84,5,15.23,2021-07-26 02:23:24,clear sky
101,Pisco,PE,-13.7,-76.2167,62.65,77,1,6.91,2021-07-26 02:23:25,clear sky
102,Pizarro,CO,4.9533,-77.366,75.34,91,100,3.15,2021-07-26 02:23:25,light rain
103,Ravar,IR,31.2656,56.8055,80.76,13,0,9.53,2021-07-26 02:18:26,clear sky
104,Thompson,CA,55.7435,-97.8558,59.16,44,40,6.91,2021-07-26 02:21:14,scattered clouds
105,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,10.36,2021-07-26 02:23:26,clear sky
106,Klaksvik,FO,62.2266,-6.589,50.92,95,100,8.9,2021-07-26 02:23:26,overcast clouds
107,Laela,TZ,-8.5667,32.05,45.27,82,2,5.55,2021-07-26 02:23:26,clear sky
108,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,2021-07-26 02:23:26,few clouds
109,Tasiilaq,GL,65.6145,-37.6368,41.16,84,27,4.5,2021-07-26 02:22:35,scattered clouds
110,Mwaya,TZ,-9.55,33.95,61.97,79,78,4.5,2021-07-26 02:23:27,light rain
111,Lethem,GY,3.3803,-59.7968,74.57,91,100,5.55,2021-07-26 02:20:38,overcast clouds
112,San Patricio,US,28.017,-97.5169,84.29,73,3,9.64,2021-07-26 02:23:27,clear sky
113,Jamestown,US,42.097,-79.2353,71.24,83,1,3.29,2021-07-26 02:22:19,clear sky
114,Luangwa,ZM,-15.6167,30.4167,53.26,84,4,3.33,2021-07-26 02:23:28,clear sky
115,Kuusamo,FI,65.9667,29.1833,57.24,94,20,2.3,2021-07-26 02:23:28,few clouds
116,Ponta Do Sol,PT,32.6667,-17.1,75.0,82,3,2.21,2021-07-26 02:23:28,clear sky
117,Nynashamn,SE,58.9034,17.9479,59.11,85,88,6.6,2021-07-26 02:23:28,overcast clouds
118,Dergachi,RU,51.2328,48.7659,65.5,36,93,4.21,2021-07-26 02:21:10,overcast clouds
119,Kichera,RU,55.9375,110.0997,76.68,42,56,2.37,2021-07-26 02:23:29,broken clouds
120,Altay,CN,47.8667,88.1167,75.94,42,54,4.29,2021-07-26 02:23:29,broken clouds
121,Solnechnyy,RU,50.7214,136.6319,81.73,58,100,3.71,2021-07-26 02:23:29,overcast clouds
122,Fortuna,US,40.5982,-124.1573,94.48,93,90,9.22,2021-07-26 02:21:44,overcast clouds
123,Camacha,PT,33.0833,-16.3333,71.53,94,75,9.22,2021-07-26 02:22:22,broken clouds
124,Norman Wells,CA,65.282,-126.8329,68.04,64,75,14.97,2021-07-26 02:23:30,smoke
125,Leshukonskoye,RU,64.8989,45.7622,46.92,79,100,5.99,2021-07-26 02:18:54,overcast clouds
126,Dawson Creek,CA,55.7666,-120.2362,69.15,42,20,13.8,2021-07-26 02:21:03,few clouds
127,Ancud,CL,-41.8697,-73.8203,38.73,79,7,7.16,2021-07-26 02:23:30,clear sky
128,Fukue,JP,32.6881,128.8419,82.76,78,75,9.22,2021-07-26 02:23:31,broken clouds
129,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,6.91,2021-07-26 02:22:39,broken clouds
130,Queanbeyan,AU,-35.35,149.2333,52.39,85,75,13.8,2021-07-26 02:23:31,light intensity drizzle
131,Kobayashi,JP,31.9833,130.9833,84.97,68,100,7.81,2021-07-26 02:23:31,overcast clouds
132,Rancho Palos Verdes,US,33.7445,-118.387,81.52,82,20,4.0,2021-07-26 02:23:32,few clouds
133,Qasigiannguit,GL,68.8193,-51.1922,50.25,62,100,5.86,2021-07-26 02:23:32,overcast clouds
134,Kovur,IN,14.4833,79.9833,85.64,55,97,17.6,2021-07-26 02:23:32,overcast clouds
135,East London,ZA,-33.0153,27.9116,58.69,26,32,6.51,2021-07-26 02:21:47,scattered clouds
136,Sheridan,US,44.8333,-106.9173,91.58,30,1,5.75,2021-07-26 02:23:33,clear sky
137,Healdsburg,US,38.6105,-122.8692,95.58,55,1,13.8,2021-07-26 02:23:33,clear sky
138,Mount Gambier,AU,-37.8333,140.7667,57.11,88,75,17.27,2021-07-26 02:23:33,light rain
139,Chuy,UY,-33.6971,-53.4616,58.37,97,3,4.9,2021-07-26 02:23:34,clear sky
140,Yulara,AU,-25.2406,130.9889,69.64,21,0,8.05,2021-07-26 02:23:34,clear sky
141,Caravelas,BR,-17.7125,-39.2481,68.83,84,2,5.61,2021-07-26 02:23:22,clear sky
142,Barneveld,NL,52.1333,5.5833,64.13,92,61,4.56,2021-07-26 02:18:36,broken clouds
143,Grand Gaube,MU,-20.0064,57.6608,70.2,58,0,15.5,2021-07-26 02:19:21,clear sky
144,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,77,0,25.99,2021-07-26 02:23:35,clear sky
